ECG_R_Peaks,ECG_P_Peaks,ECG_Q_Peaks,ECG_S_Peaks,ECG_T_Peaks,QRS,RR Interval
5.616719507,-0.202960116,-1.55651368,-1.187408894,-0.038413837,17,188
6.695028275,0.248444254,-1.209352944,-0.79139711,-0.371622646,18,294
6.357294188,0.376490081,-1.124091965,-0.747549729,-0.611855272,17,305
6.510098599,0.417118779,-1.136221126,-0.789771112,-0.385337515,15,286
5.908819902,0.399939793,-1.6009669,-0.788251047,-0.196722892,14,279
6.128509857,-0.35095298,-0.943984599,-1.282763316,-0.235570507,14,286
7.249918864,0.383367722,-0.706448139,-0.99341721,0.240841245,18,295
6.397496825,0.244549074,-1.577134959,-0.880288555,-0.022864888,15,219
7.006949736,0.332732302,-1.285386785,-0.640469434,-0.346545149,14,346
5.751752695,0.180306203,-1.3806051,-1.037105758,-0.164448856,16,300
5.980454979,-0.446502279,-1.683009356,-1.57138518,-0.504186204,16,286
6.495699084,-0.078390352,-1.761484702,-1.409703102,-1.053682069,15,303
6.053641327,-0.361865883,-1.65775885,-1.707801488,-0.786008782,18,287
6.476178974,-0.385463451,-1.211916055,-1.959804963,-0.680379613,17,291
5.414798432,-0.000158028,-1.840305707,-1.380346932,-0.431220011,14,283
6.63943494,0.474665633,-1.252231577,-0.789547179,-0.128566986,16,293
5.82531275,0.174507687,-1.749384696,-1.365627172,-0.774783155,19,277
5.948212981,0.029476176,-1.999759625,-1.636922671,-0.655512547,17,290
5.869495321,0.333657597,-1.664538739,-0.930273417,-0.109938614,17,302
6.652335695,-0.026509479,-1.331384758,-1.419360792,-0.065540881,17,299
7.619310354,0.385692548,-1.189893577,-1.047578542,-0.302325492,18,285
5.73199705,0.27809665,-1.37143165,-1.083266484,-0.208464015,16,288
5.85520209,-0.51023996,-1.843535921,-1.501959801,-0.672634583,17,289
6.208911797,0.080423167,-1.344675187,-1.077327569,-0.200557482,16,291
6.173253202,-0.13842025,-1.358383813,-1.006404019,-0.302734637,15,298
5.899238348,0.178509128,-1.621809107,-1.261923244,-0.46789051,18,304
6.759590842,0.520071654,-1.108964273,-0.725758801,0.288436682,16,298
6.717540328,0.90567462,-0.98475954,-0.673200806,0.347767667,15,304
6.398004964,0.511932304,-1.124749277,-0.959933872,-0.019383678,16,295
6.244822485,0.336502432,-1.048761554,-0.759937204,0.167190682,17,305
6.802248267,0.469472301,-1.03605584,-1.136761857,0.149290962,15,288
6.863191202,0.589882395,-0.858413613,-0.774557334,0.290301587,15,290
6.513583139,0.507990274,-0.493867255,-0.505736771,0.421676429,15,303
6.681033303,0.799571984,-1.082383915,-0.82781452,-0.29644224,18,302
6.333228763,0.344452758,-0.869829684,-0.864498321,-0.3648083,14,278
6.262154286,0.59941453,-1.000051948,-0.498601082,0.131171028,16,298
6.219562829,0.62615805,-0.969714327,-0.648477763,0.049234392,14,280
6.757388136,0.458360741,-1.456533344,-0.90637946,0.038435334,18,298
6.350665999,-0.153622123,-1.201993951,-1.210146958,-0.434349264,14,288
6.811009546,0.003215169,-1.292423444,-0.953488505,-0.037898884,16,278
6.068072564,0.178884378,-1.65689192,-0.959481375,-0.140059612,17,281
6.699706869,0.239390406,-1.00208042,-0.939163068,-0.155413163,15,297
6.030723358,0.02762648,-1.283097565,-1.140919036,-0.223378689,16,288
6.44984562,0.051205956,-1.338432608,-1.391934039,-0.308745981,15,289
6.341510759,0.239411296,-0.885304813,-1.267907178,-0.103629881,15,300
5.720777766,0.598549002,-0.695259305,-0.291872161,0.126069529,17,282
4.630016091,-0.302965398,-0.687894651,-0.722466933,-0.097187197,16,277
5.733711937,0.217508463,-1.445941685,-1.092881221,-0.182465921,16,297
7.155981253,0.355206123,-1.443343788,-0.913623079,-0.280511465,16,286
6.184027174,0.54249171,-1.333335256,-0.805934182,-0.194066043,15,281
6.16027196,0.366597652,-1.891584644,-1.181014892,-0.315731239,17,280
6.419323128,0.172963207,-1.381446049,-0.839860936,-0.026339631,17,297
7.327364038,0.643184967,-0.881440153,-0.928915162,-0.006521557,15,292
8.697040027,0.81524788,-0.671125557,-0.856799516,0.411998601,18,286
6.841096674,0.519578637,-0.760870728,-0.843290776,0.366113593,16,288
6.004546012,0.481442275,-1.314303123,-0.890412591,0.0366978,15,267
6.308535405,0.181005042,-1.385580063,-1.073334599,0.212159105,15,268
6.484797378,0.185758219,-1.096481195,-1.021014572,-0.014402669,14,269
6.398307866,0.262491874,-1.341695431,-0.882340926,-0.441633649,15,272
6.215267309,0.613047009,-0.875197364,-0.540651518,0.392307241,14,278
6.185212031,0.37651216,-0.963815958,-0.875659712,0.012956222,15,279
6.109299179,0.530798489,-1.540298913,-1.088003079,-0.128251032,16,284
5.651732579,0.593744017,-1.563268227,-1.073292724,-0.032805943,15,299
6.142519279,0.42440045,-1.161145376,-1.347113996,-0.200864149,16,300
6.12915672,0.531092724,-0.745082304,-0.925858494,0.218774049,15,300
5.692091281,0.397777304,-1.687052372,-0.745684369,-0.201078355,16,310
5.803648982,0.155819086,-1.154868955,-1.386429624,-0.380075932,16,304
5.839369662,0.20384578,-1.48783648,-1.02533785,-0.073963907,15,272
5.675084614,-0.185441083,-1.314360633,-1.040363697,-0.02315191,17,295
6.267057542,-0.964290239,-1.869062764,-1.974107501,-1.194784618,15,275
6.084516906,-0.9404234,-2.190439051,-2.10779467,-1.837024971,15,260
6.439769678,0.562294951,-0.934600713,-0.64048057,0.197630383,16,261
6.676047047,0.695317665,-1.08026157,-0.726111793,0.122691431,16,250
6.851108642,0.527830863,-1.020233643,-0.810122294,-0.685570169,16,259
6.449368054,0.150450337,-1.218196402,-1.174837731,-0.283200926,16,248
6.094649511,0.385913303,-1.023851889,-1.063573884,-0.659988346,14,254
6.266458275,0.208900347,-1.541445418,-1.079570189,-0.529217475,15,249
6.063600602,0.108274817,-1.959765401,-1.59902736,-0.670506603,15,258
5.563896697,0.465906013,-1.348452722,-1.010020762,-0.44314733,14,280
6.109933188,0.348272253,-0.814888355,-1.027062059,0.252568521,17,279
6.26438502,0.74732677,-0.649674483,-1.020860735,-0.211844928,15,296
5.799216312,0.500059978,-0.903737204,-1.054965929,-0.037858982,15,276
6.790183269,0.732193754,-1.379930702,-0.7800422,0.242584599,20,297
6.381545332,0.631948124,-1.30952332,-1.00727064,-0.313872148,18,259
5.891995737,0.153790069,-1.35527185,-1.243680365,0.255951398,15,264
5.181238317,-0.527139005,-1.603847514,-1.693915874,-0.609774924,15,250
5.787321096,-0.068115393,-1.621304364,-1.465077315,-0.422618119,15,251
6.046601249,0.468136256,-1.089907303,-1.087795552,-0.535068873,15,259
5.535536978,0.01298129,-1.266068704,-1.339318258,-0.621047973,15,261
6.502629734,0.444749303,-1.5845626,-0.795484717,-0.108823996,18,276
5.961794876,0.667345418,-1.024941477,-0.932420611,0.03665778,17,277
6.86704878,0.622346487,-1.158823242,-1.341463444,-0.079199143,17,275
5.840185459,0.33489934,-1.594868398,-1.533695445,-0.51184601,15,293
6.88671678,0.396042373,-1.151546444,-1.382156597,-0.627150796,18,274
6.329319264,0.151250557,-1.026941261,-1.21628501,-0.271416888,14,263
5.846645583,0.303710622,-1.804100814,-1.277480199,-0.458023635,15,295
5.926354322,0.014991722,-1.376026643,-1.462751262,-0.678784333,15,282
6.717443987,0.651175737,-1.372541353,-0.77851055,-0.223034803,15,253
6.976420002,0.813594995,-0.596097088,-1.096331188,0.025518322,13,258
6.50836662,0.52828799,-1.133640397,-1.336596621,-0.205358124,13,244
6.530696781,-0.008272061,-1.443627398,-1.591692828,-0.388363029,16,247
6.301044724,-0.225455155,-1.487443552,-1.226717713,-0.267777494,15,248
6.616047088,0.51795054,-1.05536148,-1.65045776,-0.296693892,17,250
5.991208222,0.015157046,-1.774122203,-1.927339416,-0.922988088,15,249
6.137327068,0.202785003,-1.204134865,-1.390867146,-0.727284295,16,269
6.036238789,0.406288444,-1.735338239,-1.799367376,-0.793540031,15,283
6.526111354,-0.072890215,-1.831157877,-1.544336215,-0.942961744,17,279
6.493896479,0.317071862,-1.169819258,-1.473407752,-0.025128187,16,253
5.96878546,0.188735294,-1.332400916,-1.092316446,-0.010911644,16,257
5.986688482,-0.025455388,-1.171271462,-1.496692491,-0.504077373,16,269
5.561166956,0.322634069,-1.424041679,-1.491909438,-0.555480081,15,279
5.919159159,0.419586231,-1.146436553,-1.076633405,0.041849091,15,355
5.755446317,-0.082569913,-1.284233906,-1.066294061,-0.296785472,16,291
6.362390681,0.393233245,-1.177289021,-1.443011113,-0.031301317,19,278
5.916064758,0.245837301,-1.399163096,-1.179456009,-0.504263329,15,269
5.503152229,-0.251952366,-1.324095018,-1.528450563,-0.323916949,14,268
7.403409239,0.592853805,-1.001960694,-1.555768862,-0.014164259,20,277
6.580745732,-0.129855538,-1.498545736,-1.486234646,-0.430135851,17,274
7.085284293,0.357288214,-1.520193274,-1.194181722,-0.045075367,16,265
6.289105631,0.51413591,-1.460058312,-1.251044814,0.039604714,16,294
7.02018652,0.675780421,-0.873983415,-0.81891485,0.359538995,16,297
6.09688322,0.280530836,-1.717954938,-1.492527008,-0.302456315,16,289
6.056356412,-0.081296879,-1.431555713,-1.572649492,-0.374650631,17,307
7.025624854,0.637541818,-1.034186719,-1.14184641,-0.033488528,19,302
6.816053032,0.950452216,-1.016298973,-0.598546847,0.319363067,16,287
6.648624911,0.725970562,-0.708873354,-0.392910832,0.018344237,16,301
6.124666588,-0.162142714,-1.703814168,-1.586564889,-0.530735622,17,303
5.808681405,0.226646458,-1.313322553,-1.724838883,-0.313768886,15,287
6.057890194,0.210579845,-1.0053978,-1.421736076,-0.07030018,14,284
6.578466423,0.48615969,-0.894290546,-0.995020082,0.219837432,14,277
6.110119553,0.445132717,-1.368691575,-1.122102813,-0.064640629,15,280
6.092105197,-0.456971926,-1.480030341,-1.59650897,-0.729773872,15,291
6.446757483,0.464519132,-1.566410627,-1.199627742,-0.068698487,15,287
5.847824605,0.345490136,-1.332633222,-1.245889106,-0.445523171,15,293
5.970678592,-0.087285775,-1.866384427,-1.529698447,-0.378963378,18,294
7.276121179,0.251729117,-1.660683955,-1.452632985,-0.214504788,19,288
6.179745874,0.589197322,-1.016386737,-0.684278374,0.038711088,15,265
7.246946205,0.598988273,-0.958724203,-1.194745845,-0.334065446,15,266
6.168269565,0.394951932,-1.266077357,-1.105414941,-0.783273182,15,291
5.732614173,0.002888102,-1.293012587,-1.500577634,-0.471815811,14,274
6.057483306,0.310717941,-1.337690916,-1.236854061,-0.29890643,16,283
6.237590836,0.597658146,-1.523215875,-1.184811841,-0.113213151,17,278
5.714714052,0.275269367,-1.574431217,-1.451843065,-0.355604793,16,275
5.841992047,-0.030754241,-1.371760155,-0.987620792,-0.143055568,16,274
5.600581453,-0.607803353,-1.927057277,-1.603935197,-0.677268102,17,284
5.725924652,0.111383852,-1.349026916,-1.879720231,-0.396873358,15,273
5.768910075,0.256927327,-1.229765784,-1.41487119,-0.384755662,13,267
5.7088499,0.182624325,-2.115976733,-1.546255678,-0.569773478,17,290
5.990582016,0.169345062,-1.498691924,-1.293182274,-0.45849164,16,279
6.175608461,-0.024867699,-1.315876116,-1.120929706,-0.023837241,14,280
6.288273465,0.778071107,-1.433855353,-0.885171839,0.101858486,15,277
6.104696971,0.624380591,-0.68226121,-1.277367576,0.221430259,17,298
6.591234194,0.366786425,-1.703435838,-1.530985689,-0.464757328,19,286
5.83936774,0.067653632,-1.450680328,-1.628140232,-1.101780865,15,277
5.577083274,0.106436673,-1.541143845,-1.380380111,-0.515115436,16,291
6.891810168,0.904014236,-1.10244499,-0.560169137,0.329977279,15,277
6.32086562,0.961997187,-0.962593011,-0.949343224,0.268294436,15,271
7.098273482,0.738700035,-1.514620468,-1.13212993,0.000747386,18,281
6.463431396,0.46779499,-1.321552687,-1.031344821,-0.270341532,15,272
6.124537201,0.190429505,-1.48789368,-1.350600588,-0.184737673,14,278
5.984379404,0.348195341,-1.313996371,-1.539265491,-0.258076998,20,292
6.28796812,0.210652089,-1.148801752,-1.115732795,-0.260264149,15,276
5.902427044,0.161904425,-1.89108974,-1.514445608,-0.551740679,16,278
6.113551376,0.22076117,-1.135613581,-1.44977344,-0.094628945,14,271
6.204876936,0.612562124,-1.12512858,-0.921125863,-0.278877128,16,276
5.777841183,0.613291493,-1.162334632,-1.113997615,-0.32026249,15,297
6.428656964,0.263636041,-1.296360124,-1.504719995,-0.105904299,19,284
5.901148961,0.598383571,-1.157659202,-0.792987397,-0.217254737,16,276
5.880275848,-0.089990279,-1.373626956,-1.41139405,-0.421519894,15,264
6.069481628,0.350799239,-1.125251555,-1.076375955,0.085061512,15,281
7.112877859,0.807302266,-1.241072457,-1.058025516,-0.153996567,19,274
6.514347901,0.81776944,-1.486594992,-0.964406646,-0.013529468,16,273
6.175820101,0.132263439,-1.684459665,-1.477806173,-0.618009214,15,280
7.163939544,0.509453574,-0.954003777,-0.850509902,-0.549267262,14,272
6.581556215,0.255481652,-1.337059978,-1.295784906,-0.344920835,15,285
6.913126252,-0.423765777,-1.379977841,-1.46831021,-0.405703355,18,289
6.157812426,0.698066439,-0.813446043,-1.331481904,-0.123481153,13,256
7.13542229,0.414403959,-1.447880051,-1.390579874,-0.394012928,16,260
7.126167471,0.608419512,-1.199549623,-0.897060527,0.01979732,15,252
7.082528807,-0.267098244,-1.637008567,-1.763162716,-0.517835929,21,275
6.836818372,0.340669919,-1.569054317,-0.913892537,-0.181698862,16,261
7.220714442,0.741362093,-1.286991713,-0.925173522,0.088520701,15,273
6.370124186,0.490419542,-0.928272097,-0.867179533,0.122352226,15,273
6.150502688,0.444541414,-1.259304216,-1.378272136,-0.533408475,19,288
6.459101982,0.149648057,-1.836475461,-1.65568025,-0.66520719,17,291
7.073217627,0.493541866,-1.304989596,-1.286196337,-0.624808712,15,290
6.178703226,0.392885272,-1.480240788,-1.084945741,-0.251236566,17,292
6.824688617,0.659459865,-0.987748483,-1.03851007,-0.030420826,16,291
6.333770293,0.465799785,-1.020382919,-1.134213368,-0.667785864,16,279
6.608172245,0.55877228,-1.462291329,-0.935854131,-0.053850397,15,282
6.056183487,0.857964785,-1.054488326,-0.722298719,0.14494073,16,293
6.535741966,0.804009082,-0.706389251,-0.67955669,0.335709637,14,276
6.244482066,0.683713655,-1.332661783,-0.688913017,0.051316312,15,286
6.044774848,0.388567496,-1.180895242,-0.99824929,-0.432694363,15,306
6.810639331,0.652618003,-1.397008035,-0.914508267,-0.17066483,15,281
6.232568072,0.56539007,-1.616738037,-0.897245818,0.096565225,17,292
6.387680051,0.617492124,-1.388233478,-0.82467941,0.024925173,15,297
6.727386288,0.347117995,-1.48575355,-0.870737898,-0.432735476,16,296
7.181131786,0.510165787,-1.107563431,-0.687403571,-0.649717354,16,194
6.400701051,0.400698307,-0.638588685,-1.475236649,-0.797237667,19,342
7.535903712,0.469204046,-1.052774213,-1.174895853,-0.735626143,17,292
8.094941733,0.63596184,-1.167745244,-0.655775534,-0.314803515,15,280
7.43304329,0.697700067,-0.772297742,-0.563434301,-0.026662827,14,273
7.293910329,0.729738565,-0.649408738,-0.852185828,-0.208856533,16,293
6.883778541,0.039436568,-1.196235179,-1.243588241,-0.078823335,16,283
7.803343076,0.609217847,-0.743354942,-1.0207741,-0.354798457,15,272
7.293296183,0.204491974,-1.330896594,-0.608176694,-0.168183969,19,295
7.502668437,0.789787066,-0.586876146,-0.58401976,-0.155069305,15,283
6.906552728,0.590521867,-1.12525418,-0.853268857,0.071423288,16,274
7.707872625,0.148306313,-0.698681657,-0.748516315,0.234008718,15,276
8.18704601,0.91614723,-0.721682401,-0.394248945,-0.083947113,16,277
7.741557382,1.14905111,-0.909104602,-0.18287926,0.034498544,17,297
7.101820581,0.634759484,-0.783053982,-0.949819671,-0.026570267,15,294
6.644540462,0.25041889,-0.969292506,-0.933908814,-0.002519063,17,304
6.873561975,0.458537662,-1.203740005,-1.103478166,-0.18184104,19,294
6.409235023,0.625459681,-1.514552106,-1.133219627,-0.27538062,16,279
6.592031159,0.145750115,-0.927780011,-1.081218882,-0.030542266,17,285
6.856709682,0.428232156,-1.324952383,-1.065790755,-0.420236091,18,286
6.293955786,0.361606793,-1.479279293,-1.020310255,-0.28101609,17,302
7.188569522,0.352624974,-1.544607154,-1.133803478,-0.281364884,18,278
7.847564934,0.691491282,-1.100132864,-1.24907358,-0.302949973,16,270
7.026919067,0.438540934,-0.967825527,-1.459800314,-0.360284704,17,498
6.514255632,0.324162593,-0.957154829,-1.152127815,-0.001786555,15,304
7.415107873,0.646652841,-0.202836241,-0.623053822,0.080864529,14,280
7.13618787,0.673546004,-1.104831244,-0.86030758,-0.503883554,15,231
6.791134447,0.131056219,-1.022716847,-1.207949629,-0.298880253,15,279
7.060318382,0.35209934,-1.036215715,-0.84257634,-0.190330545,16,279
6.404694421,0.338037243,-1.017946737,-1.032161693,-0.000313469,16,278
6.139184649,0.357659319,-1.396992974,-1.167054258,-0.449255879,17,360
6.882530689,0.126972325,-0.99597277,-1.463499169,-0.215618021,15,293
7.471237627,0.390866362,-1.013504914,-0.559737942,-0.314327174,15,291
6.764854047,0.397616576,-1.317203999,-1.036297384,-0.097378914,15,282
5.884067209,-0.185815262,-1.267535429,-1.200018047,-0.26288415,15,212
8.072710444,0.726146495,-0.618116194,-0.56420751,0.045665003,14,286
6.583866692,0.189769059,-0.928325675,-1.176491085,-0.051351011,16,305
7.733284531,0.493308712,-1.357799221,-0.686620393,-0.189901836,17,307
7.187060196,0.311826697,-0.97278554,-0.936030253,-0.159763698,16,298
6.784646728,0.010051377,-1.178424854,-1.23951986,-0.245110487,15,289
7.910377968,0.721712748,-0.719250276,-0.396876224,0.180357025,16,288
6.828526466,0.394082301,-1.206601507,-0.917850161,0.020852021,15,292
6.66177813,0.855011193,-0.914825704,-0.860046701,-0.177546851,15,280
6.374124571,0.494835641,-1.30067622,-0.807733426,0.09020148,14,277
6.156472355,0.30205035,-1.674851351,-1.309263557,-0.392597,15,302
6.564242721,-0.205084771,-1.955150251,-1.404547872,-0.607157759,17,295
6.549176545,0.022428413,-1.558653343,-1.250133385,-1.076286527,19,292
7.66187396,0.515657956,-0.360332829,-0.842530646,0.091509728,14,298
7.599494407,0.752567984,-0.850560079,-0.514915923,0.082213235,14,340
7.061348935,-0.156840118,-1.359398539,-1.616625478,-0.552578623,16,295
6.749354775,0.098151326,-1.678021194,-1.109264706,-0.537024626,17,307
8.595722342,0.771292951,-0.965751642,-0.397425203,0.244583432,16,279
6.689917511,-0.068289012,-1.321005202,-0.92423327,0.080822651,15,269
6.6038436,0.395556229,-1.295331571,-1.022452596,-0.207642891,15,269
6.356518539,0.197623153,-1.162569669,-1.114314716,-0.196696473,15,279
6.978877688,0.491545216,-1.251697761,-1.078169441,-0.146480251,15,289
7.533322205,0.722164611,-1.082920372,-0.60576022,0.012667197,15,281
7.778505147,0.790441465,-0.922781026,-0.667714902,-0.314788846,15,272
7.581303383,0.519938197,-1.113914446,-0.686558136,-0.292016614,15,280
7.536340121,0.538830172,-1.0437628349999999,-0.926889521,0.043556352,15,308
7.212268899,0.835674219,-1.007710415,-0.885767351,0.083915539,20,310
7.108821252,0.326318188,-1.376791467,-1.097111126,-0.150786333,16,286
7.371786898,0.659644289,-1.415735324,-0.93791909,-0.230433326,15,278
7.068934335,0.141694297,-1.058966371,-1.072146904,0.01518021,15,285
7.646319979,0.649094857,-0.760572019,-0.799770148,0.069375765,15,260
6.991076209,0.493238522,-0.621745279,-1.124012373,0.143101882,14,285
7.810539864,0.878823111,-1.098923974,-0.621330848,0.006330883,16,278
7.999690521,-0.06021809,-0.910125435,-0.839597453,-0.179078898,19,273
6.366786639,-0.132507932,-1.291184471,-1.085001917,-0.293424405,16,299
6.474370789,0.396311462,-1.120794451,-1.064386609,-0.551191758,15,283
7.33266764,0.558106593,-1.285501627,-0.726727875,0.120737584,15,280
6.538189595,0.38231951,-1.396962018,-1.051583607,-0.140166074,15,295
6.961444205,0.607287213,-1.379923628,-0.722166044,-0.362999578,18,279
6.345610626,0.192505606,-1.526269306,-1.353414561,-0.44048785,14,285
7.214648012,0.663356662,-1.226753535,-1.06066756,-0.330168695,16,287
7.137443064,0.711494836,-0.685664999,-0.681686202,-0.192063825,14,275
6.665881195,0.052229029,-1.84998666,-1.315794853,-0.195606035,16,300
7.865454124,0.717329316,-0.694844454,-0.696005208,-0.149963399,15,285
7.805981631,0.786619159,-0.998297157,-0.670167655,-0.405396506,18,287
7.806572949,0.711650226,-0.618378004,-0.591177472,-0.208000055,16,283
7.14636511,0.814814665,-1.130363027,-0.292789518,0.095778564,16,275
7.475519088,0.218451463,-1.250598387,-0.633884537,0.348249493,17,295
7.359950155,0.618746941,-1.114130328,-1.060269716,-0.600618016,19,301
6.141366439,-0.180482167,-1.440264177,-1.200662195,-0.217678657,17,294
6.894913777,-0.026712641,-1.472120416,-0.686797651,-0.247488935,15,284
8.009993031,0.691568749,-0.808569447,-0.312079848,0.320236813,17,284
7.717727783,0.85403583,-0.508451572,-0.361794079,0.438596212,15,283
6.611991758,0.239394695,-1.131648022,-0.924521787,0.138372851,16,284
7.148326121,0.617335994,-0.78964653,-0.830649729,-0.211930069,15,296
7.887226662,1.00976907,-0.486830823,-0.610962144,0.482880763,16,300
6.967058914,0.68224943,-1.456902628,-1.057816933,-0.197328629,19,293
6.793835081,-0.003795102,-1.667693156,-1.31372422,-0.29446195,15,290
7.688950014,0.347339688,-1.048666499,-1.02408424,0.087494814,15,277
7.29928637,0.435100296,-1.149781351,-0.759916285,0.158799871,17,277
6.529316781,0.461130405,-1.395513716,-1.029449861,-0.488317968,15,280
6.427250185,0.434517311,-1.512115966,-1.037844879,-0.266670002,17,301
6.961015642,0.041740384,-1.172817495,-1.160414889,-0.381564427,15,298
6.156292872,0.037641896,-1.468664215,-1.379182444,-0.515910015,15,287
6.544143973,0.357292519,-0.94996807,-1.129823194,-0.056047349,15,284
6.808360145,0.256238511,-1.158032532,-0.663553254,0.256340473,15,284
8.609339645,0.84149971,-1.030464681,-0.365045263,0.529744817,19,300
7.614444477,0.587454317,-0.585980009,-0.772771056,0.386034289,15,290
7.097779424,0.770956051,-0.44507819,-0.468712657,0.415402703,15,283
6.671834937,0.527046899,-1.40204363,-0.823262621,-0.162154486,15,283
8.329053204,0.345846081,-1.308525477,-0.839076614,0.069899744,19,303
7.312691083,0.54456149,-1.185263004,-0.782470521,-0.09436389,15,296
7.857911931,0.396511686,-1.073522609,-0.71128298,-0.285932972,15,286
